# GFF/GTF parsing and conversion.
# PYTHON VERSION: 3.8.5
# Script call:    /home/gt156213e/bin/core/gxf_parse.py -i dwarf_hamster_23Oct2018_myWZ3.all.gff -s maker -p Psun_ -o psun-transcripts.tab --nogenes --noexons --overwrite
# Runtime:        10/17/2020 17:21:11
# ----------------
# Input file:            dwarf_hamster_23Oct2018_myWZ3.all.gff
# Input source:          maker
# Feature ID prefix:     Psun_
# Output file:           psun-transcripts.tab
# --overwrite set:       Overwriting previous output file.
# --nogenes set:         Not writing gene coordinates and IDs.
# --noexons set:         Not writing exon coordinates and IDs.
# ----------------
# 10.17.2020 | 17:21:11 Detecting compression...
# 10.17.2020 | 17:21:11 Reading genes...
# Genes read:            27988
# ----------------
# 10.17.2020 | 17:23:48 Reading transcripts...
# Transcripts read:      27988
# ----------------
# 10.17.2020 | 17:26:13 Reading CDS...
# CDS read:              188010
# ----------------
# 10.17.2020 | 17:39:42 Writing output...
feature id	feature type	chr	start	end	strand	parent ids	num child features
Psun_T000027820_mRNA-1	transcript	ScmyWZ3_1528_HRSCAF_1579	3236	3865	+	Psun_G000027820	1
Psun_T000027821_mRNA-1	transcript	ScmyWZ3_1528_HRSCAF_1579	4920	5359	+	Psun_G000027821	2
Psun_T000027819_mRNA-1	transcript	ScmyWZ3_1528_HRSCAF_1579	2916	3157	+	Psun_G000027819	2
Psun_T000003868_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	184667	187620	-	Psun_G000003868	1
Psun_T000003870_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	193072	210132	-	Psun_G000003870	8
Psun_T000003869_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	191972	192942	-	Psun_G000003869	3
Psun_T000003852_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	76691	94624	+	Psun_G000003852	14
Psun_T000003856_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	107499	108359	+	Psun_G000003856	3
Psun_T000003857_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	109851	112170	+	Psun_G000003857	5
Psun_T000003858_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	112226	113394	+	Psun_G000003858	2
Psun_T000003859_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	114739	121593	+	Psun_G000003859	14
Psun_T000003863_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	138850	140481	+	Psun_G000003863	2
Psun_T000003864_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	140963	164988	+	Psun_G000003864	19
Psun_T000003865_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	165059	166962	+	Psun_G000003865	7
Psun_T000003866_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	167098	171779	+	Psun_G000003866	11
Psun_T000003853_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	93470	101456	-	Psun_G000003853	14
Psun_T000003854_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	101529	105333	-	Psun_G000003854	6
Psun_T000003855_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	105386	106810	-	Psun_G000003855	2
Psun_T000003860_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	121378	124494	-	Psun_G000003860	3
Psun_T000003861_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	124501	126309	-	Psun_G000003861	2
Psun_T000003867_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	172145	182675	+	Psun_G000003867	4
Psun_T000003862_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	134083	134410	-	Psun_G000003862	2
Psun_T000003871_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	277911	281961	+	Psun_G000003871	7
Psun_T000003872_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	284682	289896	+	Psun_G000003872	3
Psun_T000003873_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	290597	290998	+	Psun_G000003873	1
Psun_T000003879_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	323015	323992	+	Psun_G000003879	1
Psun_T000003876_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	296158	298972	-	Psun_G000003876	5
Psun_T000003877_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	303403	305993	-	Psun_G000003877	7
Psun_T000003878_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	309334	322747	-	Psun_G000003878	6
Psun_T000003880_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	344995	349074	-	Psun_G000003880	4
Psun_T000003881_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	351438	353973	-	Psun_G000003881	2
Psun_T000003882_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	355077	362293	-	Psun_G000003882	4
Psun_T000003883_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	367454	367831	-	Psun_G000003883	1
Psun_T000003874_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	291769	293908	+	Psun_G000003874	6
Psun_T000003875_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	293971	295017	+	Psun_G000003875	4
Psun_T000003898_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	488815	490199	+	Psun_G000003898	2
Psun_T000003900_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	498012	507600	+	Psun_G000003900	4
Psun_T000003901_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	512856	528431	+	Psun_G000003901	14
Psun_T000003902_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	529832	535420	+	Psun_G000003902	3
Psun_T000003899_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	496864	506390	-	Psun_G000003899	3
Psun_T000003903_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	535888	540656	-	Psun_G000003903	3
Psun_T000003904_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	542157	544420	-	Psun_G000003904	3
Psun_T000003905_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	577173	577844	-	Psun_G000003905	1
Psun_T000003906_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	578173	581317	-	Psun_G000003906	2
Psun_T000003887_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	393788	396876	+	Psun_G000003887	8
Psun_T000003889_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	410191	414770	+	Psun_G000003889	2
Psun_T000003890_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	416527	419706	+	Psun_G000003890	6
Psun_T000003894_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	448989	462083	+	Psun_G000003894	4
Psun_T000003885_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	380240	384485	-	Psun_G000003885	14
Psun_T000003886_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	385753	393127	-	Psun_G000003886	9
Psun_T000003888_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	397034	410120	-	Psun_G000003888	17
Psun_T000003891_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	420524	432888	-	Psun_G000003891	14
Psun_T000003892_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	434725	439524	-	Psun_G000003892	10
Psun_T000003893_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	447479	449261	-	Psun_G000003893	3
Psun_T000003895_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	453533	465906	-	Psun_G000003895	11
Psun_T000003896_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	469225	476229	-	Psun_G000003896	4
Psun_T000003897_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	481315	485130	-	Psun_G000003897	3
Psun_T000003884_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	379431	380171	-	Psun_G000003884	3
Psun_T000003915_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	689861	690757	-	Psun_G000003915	3
Psun_T000003916_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	691038	710681	-	Psun_G000003916	8
Psun_T000003917_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	718250	749555	-	Psun_G000003917	7
Psun_T000003914_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	688795	689608	-	Psun_G000003914	4
Psun_T000003907_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	596523	611751	+	Psun_G000003907	20
Psun_T000003908_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	619295	625313	+	Psun_G000003908	8
Psun_T000003911_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	636416	653981	+	Psun_G000003911	10
Psun_T000003909_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	623756	625308	-	Psun_G000003909	4
Psun_T000003910_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	630258	635345	-	Psun_G000003910	8
Psun_T000003912_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	654064	654793	-	Psun_G000003912	2
Psun_T000003913_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	655041	667713	-	Psun_G000003913	7
Psun_T000003924_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	893893	901590	+	Psun_G000003924	4
Psun_T000003923_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	879281	881464	-	Psun_G000003923	4
Psun_T000003925_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	973315	977659	-	Psun_G000003925	3
Psun_T000003926_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	977683	978832	-	Psun_G000003926	2
Psun_T000003927_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	981819	993299	+	Psun_G000003927	7
Psun_T000003928_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	995430	1001365	-	Psun_G000003928	5
Psun_T000003922_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	868888	878633	+	Psun_G000003922	5
Psun_T000003918_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	803480	803801	-	Psun_G000003918	2
Psun_T000003919_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	803958	806673	-	Psun_G000003919	6
Psun_T000003920_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	807463	851213	-	Psun_G000003920	35
Psun_T000003921_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	852597	865417	-	Psun_G000003921	4
Psun_T000003929_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1083656	1093808	+	Psun_G000003929	5
Psun_T000003931_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1157214	1165201	+	Psun_G000003931	6
Psun_T000003930_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1131971	1155747	-	Psun_G000003930	9
Psun_T000003932_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1165330	1172122	-	Psun_G000003932	6
Psun_T000003942_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1301291	1303388	+	Psun_G000003942	2
Psun_T000003943_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1323218	1326003	+	Psun_G000003943	7
Psun_T000003944_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1327210	1341204	-	Psun_G000003944	19
Psun_T000003946_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1359053	1371744	-	Psun_G000003946	8
Psun_T000003945_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1357791	1358466	-	Psun_G000003945	2
Psun_T000003941_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1300122	1300578	+	Psun_G000003941	2
Psun_T000003934_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1210480	1225444	+	Psun_G000003934	9
Psun_T000003935_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1230571	1256670	+	Psun_G000003935	22
Psun_T000003940_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1285846	1287791	+	Psun_G000003940	1
Psun_T000003933_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1194619	1206003	-	Psun_G000003933	3
Psun_T000003936_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1241175	1249461	-	Psun_G000003936	3
Psun_T000003938_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1259346	1275104	-	Psun_G000003938	18
Psun_T000003939_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1276962	1278199	-	Psun_G000003939	3
Psun_T000003937_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1257072	1257374	+	Psun_G000003937	2
Psun_T000003947_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1528463	1531914	+	Psun_G000003947	2
Psun_T000003948_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1550710	1556530	-	Psun_G000003948	2
Psun_T000003949_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1663086	1663584	+	Psun_G000003949	2
Psun_T000003959_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2003108	2006410	+	Psun_G000003959	5
Psun_T000003960_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2007613	2009907	+	Psun_G000003960	2
Psun_T000003962_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2013533	2015661	+	Psun_G000003962	2
Psun_T000003961_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2007965	2012482	-	Psun_G000003961	6
Psun_T000003963_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2016083	2022751	-	Psun_G000003963	4
Psun_T000003950_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1829929	1871427	+	Psun_G000003950	15
Psun_T000003951_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1872283	1873418	+	Psun_G000003951	2
Psun_T000003953_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1887685	1889532	+	Psun_G000003953	2
Psun_T000003954_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1896079	1905702	+	Psun_G000003954	11
Psun_T000003956_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1922174	1924985	+	Psun_G000003956	4
Psun_T000003957_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1927783	1929921	+	Psun_G000003957	8
Psun_T000003955_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1911625	1921032	-	Psun_G000003955	15
Psun_T000003958_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1929340	1942057	-	Psun_G000003958	5
Psun_T000003952_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	1873984	1875366	+	Psun_G000003952	4
Psun_T000003964_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2083820	2096085	+	Psun_G000003964	11
Psun_T000003966_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2110261	2110606	+	Psun_G000003966	2
Psun_T000003967_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2111990	2121796	+	Psun_G000003967	9
Psun_T000003968_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2122540	2124524	+	Psun_G000003968	3
Psun_T000003969_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2124668	2125183	+	Psun_G000003969	2
Psun_T000003970_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2126708	2138888	-	Psun_G000003970	7
Psun_T000003973_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2148535	2177265	-	Psun_G000003973	19
Psun_T000003974_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2177284	2181570	-	Psun_G000003974	2
Psun_T000003965_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2103254	2104494	+	Psun_G000003965	3
Psun_T000003972_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2147633	2148188	-	Psun_G000003972	2
Psun_T000003971_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2145871	2147320	-	Psun_G000003971	2
Psun_T000003979_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2391686	2397853	+	Psun_G000003979	2
Psun_T000003975_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2181541	2192965	+	Psun_G000003975	8
Psun_T000003977_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2196891	2200868	-	Psun_G000003977	4
Psun_T000003978_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2200885	2201442	-	Psun_G000003978	1
Psun_T000003976_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2193269	2195990	+	Psun_G000003976	3
Psun_T000003981_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2670653	2680142	+	Psun_G000003981	4
Psun_T000003980_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2602018	2605661	-	Psun_G000003980	3
Psun_T000003984_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2851568	2858742	-	Psun_G000003984	2
Psun_T000003982_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2708058	2708897	+	Psun_G000003982	1
Psun_T000003983_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	2740968	2765214	+	Psun_G000003983	4
Psun_T000003987_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3514983	3520397	+	Psun_G000003987	4
Psun_T000003991_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3548772	3555587	+	Psun_G000003991	3
Psun_T000003985_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3505890	3507221	-	Psun_G000003985	2
Psun_T000003986_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3507591	3513336	-	Psun_G000003986	4
Psun_T000003989_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3527525	3531999	-	Psun_G000003989	6
Psun_T000003990_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3540472	3543531	-	Psun_G000003990	4
Psun_T000003988_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3521150	3522081	+	Psun_G000003988	2
Psun_T000003992_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3634793	3653518	+	Psun_G000003992	13
Psun_T000003993_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3653598	3655485	+	Psun_G000003993	6
Psun_T000004026_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	4089425	4098551	-	Psun_G000004026	2
Psun_T000004004_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3760349	3778247	-	Psun_G000004004	8
Psun_T000004005_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3781368	3786692	-	Psun_G000004005	2
Psun_T000004006_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3796792	3832702	-	Psun_G000004006	6
Psun_T000004007_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3865321	3867862	-	Psun_G000004007	4
Psun_T000004003_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3759105	3759635	-	Psun_G000004003	2
Psun_T000003998_mRNA-1	transcript	ScmyWZ3_6734_HRSCAF_6862	3725726	3738498	+	Psun_G000003998	13
