# codeml m1 output parser
# PYTHON VERSION: 3.8.5
# Script call:    paml_to_csv.py -i ../../paml/phodopus-5spec-cmc/ -m cmc -d ../../data/psun-transcripts.tab -o ../../paml/phodopus-5spec-cmc.csv
# Runtime:        11/16/2020 22:16:36
# ----------------
# IO OPTIONS
# Input directory:       ../../paml/phodopus-5spec-cmc/
# PAML model:            cmc
# Metadata file:         ../../data/psun-transcripts.tab
# Output file:           ../../paml/phodopus-5spec-cmc.csv
# ----------------
# 11.16.2020 | 22:16:36 Reading metadata file: ../../data/psun-transcripts.tab
# Features read:         27988
# ----------------
# 11.16.2020 | 22:16:37 Begin parsing PAML output...
file,id,chr,start,end,lnl,k,prop 1,prop 2,prop 3,background clade omega 1,background clade omega 2,background clade omega 3,target clade omega 1,target clade omega 2,target clade omega 3
Psun_T000003882.NT.trim.NT.macse.trim.filter,Psun_T000003882,ScmyWZ3_6734_HRSCAF_6862,355077,362293,-732.433214,12.68267,0.75679,0.00000,0.24321,0.04888,1.00000,0.00000,0.04888,1.00000,0.03384
Psun_T000003863.NT.trim.NT.macse.trim.filter,Psun_T000003863,ScmyWZ3_6734_HRSCAF_6862,138850,140481,-918.367935,3.41987,0.68232,0.22792,0.08976,0.00000,1.00000,0.00000,0.00000,1.00000,5.92530
Psun_T000003880.NT.trim.NT.macse.trim.filter,Psun_T000003880,ScmyWZ3_6734_HRSCAF_6862,344995,349074,-969.427109,5.90371,0.87224,0.01576,0.11201,0.12281,1.00000,0.77938,0.12281,1.00000,6.83568
Psun_T000003924.NT.trim.NT.macse.trim.filter,Psun_T000003924,ScmyWZ3_6734_HRSCAF_6862,893893,901590,-499.481634,3.19079,0.83675,0.14856,0.01469,0.00000,1.00000,0.00000,0.00000,1.00000,7.13248
Psun_T000003896.NT.trim.NT.macse.trim.filter,Psun_T000003896,ScmyWZ3_6734_HRSCAF_6862,469225,476229,-768.274218,1.78686,0.86132,0.00000,0.13868,0.02843,1.00000,0.92268,0.02843,1.00000,0.00000
Psun_T000003903.NT.trim.NT.macse.trim.filter,Psun_T000003903,ScmyWZ3_6734_HRSCAF_6862,535888,540656,-624.749229,4.87342,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
Psun_T000003919.NT.trim.NT.macse.trim.filter,Psun_T000003919,ScmyWZ3_6734_HRSCAF_6862,803958,806673,-783.303409,4.61813,0.43757,0.00031,0.56212,0.00000,1.00000,0.61221,0.00000,1.00000,0.34002
Psun_T000003889.NT.trim.NT.macse.trim.filter,Psun_T000003889,ScmyWZ3_6734_HRSCAF_6862,410191,414770,-1128.070656,4.57325,0.47051,0.00000,0.52949,0.28036,1.00000,0.00000,0.28036,1.00000,0.18200
Psun_T000003881.NT.trim.NT.macse.trim.filter,Psun_T000003881,ScmyWZ3_6734_HRSCAF_6862,351438,353973,-491.735882,0.86085,0.67113,0.00000,0.32887,0.06473,1.00000,0.00000,0.06473,1.00000,0.55592
Psun_T000003893.NT.trim.NT.macse.trim.filter,Psun_T000003893,ScmyWZ3_6734_HRSCAF_6862,447479,449261,-1185.425365,5.00863,0.94929,0.00000,0.05071,0.32301,1.00000,0.00000,0.32301,1.00000,3.23189
