# GFF/GTF parsing and conversion.
# PYTHON VERSION: 3.8.5
# Script call:    /home/gt156213e/bin/core/gxf_parse.py -i dwarf_hamster_23Oct2018_myWZ3.all.gff -s maker -p Psun -o psun-genes.tab --notranscripts --noexons
# Runtime:        10/29/2020 14:06:52
# ----------------
# Input file:            dwarf_hamster_23Oct2018_myWZ3.all.gff
# Input source:          maker
# Feature ID prefix:     Psun
# Output file:           psun-genes.tab
# --notranscripts set:   Not writing transcript coordinates and IDs.
# --noexons set:         Not writing exon coordinates and IDs.
# ----------------
# 10.29.2020 | 14:06:52 Detecting compression...
# 10.29.2020 | 14:06:52 Reading genes...
# Genes read:            27988
# ----------------
# 10.29.2020 | 14:09:07 Writing output...
feature id	feature type	chr	start	end	strand	parent ids	num child features
Psun_G000027820	gene	ScmyWZ3_1528_HRSCAF_1579	3236	3865	+	NA	0
Psun_G000027821	gene	ScmyWZ3_1528_HRSCAF_1579	4920	5359	+	NA	0
Psun_G000027819	gene	ScmyWZ3_1528_HRSCAF_1579	2916	3157	+	NA	0
Psun_G000003868	gene	ScmyWZ3_6734_HRSCAF_6862	184667	187620	-	NA	0
Psun_G000003870	gene	ScmyWZ3_6734_HRSCAF_6862	193072	210132	-	NA	0
Psun_G000003869	gene	ScmyWZ3_6734_HRSCAF_6862	191972	192942	-	NA	0
Psun_G000003852	gene	ScmyWZ3_6734_HRSCAF_6862	76691	94624	+	NA	0
Psun_G000003856	gene	ScmyWZ3_6734_HRSCAF_6862	107499	108359	+	NA	0
Psun_G000003857	gene	ScmyWZ3_6734_HRSCAF_6862	109851	112170	+	NA	0
Psun_G000003858	gene	ScmyWZ3_6734_HRSCAF_6862	112226	113394	+	NA	0
Psun_G000003859	gene	ScmyWZ3_6734_HRSCAF_6862	114739	121593	+	NA	0
Psun_G000003863	gene	ScmyWZ3_6734_HRSCAF_6862	138850	140481	+	NA	0
Psun_G000003864	gene	ScmyWZ3_6734_HRSCAF_6862	140963	164988	+	NA	0
Psun_G000003865	gene	ScmyWZ3_6734_HRSCAF_6862	165059	166962	+	NA	0
Psun_G000003866	gene	ScmyWZ3_6734_HRSCAF_6862	167098	171779	+	NA	0
Psun_G000003853	gene	ScmyWZ3_6734_HRSCAF_6862	93470	101456	-	NA	0
Psun_G000003854	gene	ScmyWZ3_6734_HRSCAF_6862	101529	105333	-	NA	0
Psun_G000003855	gene	ScmyWZ3_6734_HRSCAF_6862	105386	106810	-	NA	0
Psun_G000003860	gene	ScmyWZ3_6734_HRSCAF_6862	121378	124494	-	NA	0
Psun_G000003861	gene	ScmyWZ3_6734_HRSCAF_6862	124501	126309	-	NA	0
Psun_G000003867	gene	ScmyWZ3_6734_HRSCAF_6862	172145	182675	+	NA	0
Psun_G000003862	gene	ScmyWZ3_6734_HRSCAF_6862	134083	134410	-	NA	0
Psun_G000003871	gene	ScmyWZ3_6734_HRSCAF_6862	277911	281961	+	NA	0
Psun_G000003872	gene	ScmyWZ3_6734_HRSCAF_6862	284682	289896	+	NA	0
Psun_G000003873	gene	ScmyWZ3_6734_HRSCAF_6862	290597	290998	+	NA	0
Psun_G000003879	gene	ScmyWZ3_6734_HRSCAF_6862	323015	323992	+	NA	0
Psun_G000003876	gene	ScmyWZ3_6734_HRSCAF_6862	296158	298972	-	NA	0
Psun_G000003877	gene	ScmyWZ3_6734_HRSCAF_6862	303403	305993	-	NA	0
Psun_G000003878	gene	ScmyWZ3_6734_HRSCAF_6862	309334	322747	-	NA	0
Psun_G000003880	gene	ScmyWZ3_6734_HRSCAF_6862	344995	349074	-	NA	0
Psun_G000003881	gene	ScmyWZ3_6734_HRSCAF_6862	351438	353973	-	NA	0
Psun_G000003882	gene	ScmyWZ3_6734_HRSCAF_6862	355077	362293	-	NA	0
Psun_G000003883	gene	ScmyWZ3_6734_HRSCAF_6862	367454	367831	-	NA	0
Psun_G000003874	gene	ScmyWZ3_6734_HRSCAF_6862	291769	293908	+	NA	0
Psun_G000003875	gene	ScmyWZ3_6734_HRSCAF_6862	293971	295017	+	NA	0
