# codeml m1 output parser
# PYTHON VERSION: 3.8.5
# Script call:    paml_to_csv.py -i ../../paml/mus-4spec-cmc/ -m cmc -d ../../data/mm10-genes.tab -o ../../paml/mus-4spec-cmc.csv
# Runtime:        11/17/2020 18:10:59
# ----------------
# IO OPTIONS
# Input directory:       ../../paml/mus-4spec-cmc/
# PAML model:            cmc
# Metadata file:         ../../data/mm10-genes.tab
# Output file:           ../../paml/mus-4spec-cmc.csv
# ----------------
# 11.17.2020 | 18:10:59 Reading metadata file: ../../data/mm10-genes.tab
# Features read:         55421
# ----------------
# 11.17.2020 | 18:11:00 Begin parsing PAML output...
file,id,chr,start,end,lnl,k,prop 1,prop 2,prop 3,background clade omega 1,background clade omega 2,background clade omega 3,target clade omega 1,target clade omega 2,target clade omega 3
ENSMUSG00000030337-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000030337,6,125215551,125245964,-598.529031,14.93910,0.97931,0.00000,0.02069,0.01262,1.00000,999.00000,0.01262,1.00000,0.00000
ENSMUSG00000043319-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000043319,12,102899316,102900526,-326.465085,0.70700,0.00000,0.40386,0.59614,0.00000,1.00000,999.00000,0.00000,1.00000,0.00000
ENSMUSG00000020635-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020635,12,4833174,4841591,-507.346073,19.98299,0.00000,0.00000,1.00000,0.11008,1.00000,48.04069,0.11008,1.00000,0.00000
ENSMUSG00000039063-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000039063,2,6188465,6213033,-1325.381528,3.77466,0.13755,0.00000,0.86245,0.00000,1.00000,0.00000,0.00000,1.00000,0.22698
ENSMUSG00000020303-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000020303,11,31357307,31370074,-1528.866389,3.22783,0.98477,0.00000,0.01523,0.08022,1.00000,0.00000,0.08022,1.00000,4.37761
ENSMUSG00000006715-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000006715,13,24751845,24761923,-1155.412416,3.67934,0.86198,0.00000,0.13802,0.10462,1.00000,565.59330,0.10462,1.00000,0.30480
ENSMUSG00000034031-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000034031,11,88294058,88295261,-805.306773,4.09709,0.00001,0.13892,0.86107,0.00000,1.00000,0.00000,0.00000,1.00000,0.09341
ENSMUSG00000035383-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000035383,10,88091072,88092375,-951.952241,2.09840,0.66582,0.00000,0.33418,0.00000,1.00000,999.00000,0.00000,1.00000,0.32586
ENSMUSG00000094612-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000094612,7,108313451,108318827,-1700.141841,2.61872,0.62926,0.00000,0.37074,0.00000,1.00000,999.00000,0.00000,1.00000,0.27992
ENSMUSG00000031633-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000031633,8,46206797,46211284,-1378.995931,3.29284,0.00000,0.00000,1.00000,0.00000,1.00000,717.40124,0.00000,1.00000,0.00000
ENSMUSG00000078784-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000078784,3,14606284,14611285,-457.251519,2.06949,0.76572,0.00000,0.23428,0.13618,1.00000,13.19108,0.13618,1.00000,0.00000
ENSMUSG00000094282-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000094282,5,120628335,120634235,-1076.746667,6.06443,0.77530,0.00000,0.22470,0.23338,1.00000,999.00000,0.23338,1.00000,0.38958
ENSMUSG00000002804-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000002804,12,112934291,112942124,-1190.070504,6.98513,0.00000,0.17407,0.82593,0.00000,1.00000,148.54109,0.00000,1.00000,0.00000
ENSMUSG00000095831-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000095831,6,42739371,42746963,-1679.870028,2.76893,0.81733,0.00000,0.18267,0.00000,1.00000,0.00000,0.00000,1.00000,0.85424
ENSMUSG00000049287-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000049287,11,59155369,59163739,-2031.565716,5.35839,0.68615,0.00000,0.31385,0.00000,1.00000,353.11692,0.00000,1.00000,1.03458
ENSMUSG00000031489-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000031489,8,27225776,27250616,-1781.162083,10.96353,0.99998,0.00000,0.00002,0.10677,1.00000,1.17100,0.10677,1.00000,0.10566
ENSMUSG00000062661-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000062661,2,31245823,31295989,-879.439827,6.58382,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
ENSMUSG00000021431-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000021431,13,38204938,38227665,-1760.086501,3.70817,0.15262,0.00000,0.84738,0.89377,1.00000,0.00000,0.89377,1.00000,0.01617
ENSMUSG00000044164-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000044164,13,43615710,43670945,-1292.368725,4.45035,0.00000,0.00000,1.00000,0.04692,1.00000,2.70450,0.04692,1.00000,0.00941
ENSMUSG00000021456-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000021456,13,62836877,62858422,-1689.503453,4.53644,0.00000,0.00000,1.00000,0.31255,1.00000,9.33014,0.31255,1.00000,0.03642
ENSMUSG00000029507-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000029507,5,110773667,110780659,-1950.670263,2.69806,0.86312,0.00000,0.13688,0.02363,1.00000,0.18139,0.02363,1.00000,0.00000
ENSMUSG00000013150-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000013150,8,105713854,105758664,-1983.164084,5.09383,0.00000,0.00000,1.00000,0.30598,1.00000,62.31254,0.30598,1.00000,0.02569
ENSMUSG00000028998-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000028998,5,23838944,23844161,-251.111236,999.00000,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
ENSMUSG00000033706-mus4.NT.trim.NT.macse.trim.filter,ENSMUSG00000033706,6,85431989,85446435,-2089.728318,3.99147,0.76951,0.20118,0.02932,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000
