scaff,chrome,gene.len
ScmyWZ3_7291_HRSCAF_7434,1,1007.0
ScmyWZ3_7291_HRSCAF_7434,1,7243.0
ScmyWZ3_7291_HRSCAF_7434,1,1841.0
ScmyWZ3_7291_HRSCAF_7434,1,8576.0
ScmyWZ3_7291_HRSCAF_7434,1,24486.0
ScmyWZ3_7291_HRSCAF_7434,1,3444.0
ScmyWZ3_7291_HRSCAF_7434,1,7093.0
ScmyWZ3_7291_HRSCAF_7434,1,19949.0
ScmyWZ3_7291_HRSCAF_7434,1,797.0
ScmyWZ3_7291_HRSCAF_7434,1,5743.0
ScmyWZ3_7291_HRSCAF_7434,1,5275.0
ScmyWZ3_7291_HRSCAF_7434,1,20206.0
ScmyWZ3_7291_HRSCAF_7434,1,11430.0
ScmyWZ3_7291_HRSCAF_7434,1,2238.0
ScmyWZ3_7291_HRSCAF_7434,1,9732.0
ScmyWZ3_7291_HRSCAF_7434,1,1305.0
ScmyWZ3_7291_HRSCAF_7434,1,1340.0
ScmyWZ3_7291_HRSCAF_7434,1,34214.0
ScmyWZ3_7291_HRSCAF_7434,1,8486.0
ScmyWZ3_7291_HRSCAF_7434,1,27770.0
ScmyWZ3_7291_HRSCAF_7434,1,2527.0
ScmyWZ3_7291_HRSCAF_7434,1,5465.0
ScmyWZ3_7291_HRSCAF_7434,1,44694.0
ScmyWZ3_7291_HRSCAF_7434,1,13099.0
ScmyWZ3_7291_HRSCAF_7434,1,42552.0
ScmyWZ3_7291_HRSCAF_7434,1,18974.0
ScmyWZ3_7291_HRSCAF_7434,1,11346.0
ScmyWZ3_7291_HRSCAF_7434,1,3038.0
ScmyWZ3_7291_HRSCAF_7434,1,4519.0
ScmyWZ3_7291_HRSCAF_7434,1,9194.0
ScmyWZ3_7291_HRSCAF_7434,1,13376.0
ScmyWZ3_7291_HRSCAF_7434,1,16882.0
ScmyWZ3_7291_HRSCAF_7434,1,19497.0
ScmyWZ3_7291_HRSCAF_7434,1,3166.0
ScmyWZ3_7291_HRSCAF_7434,1,5294.0
ScmyWZ3_7291_HRSCAF_7434,1,2516.0
ScmyWZ3_7291_HRSCAF_7434,1,39297.0
ScmyWZ3_7291_HRSCAF_7434,1,815.0
ScmyWZ3_7291_HRSCAF_7434,1,10618.0
ScmyWZ3_7291_HRSCAF_7434,1,602.0
ScmyWZ3_7291_HRSCAF_7434,1,11490.0
ScmyWZ3_7291_HRSCAF_7434,1,536.0
ScmyWZ3_7291_HRSCAF_7434,1,9151.0
ScmyWZ3_7291_HRSCAF_7434,1,9289.0
ScmyWZ3_7291_HRSCAF_7434,1,6811.0
ScmyWZ3_7291_HRSCAF_7434,1,56984.0
ScmyWZ3_7291_HRSCAF_7434,1,2414.0
ScmyWZ3_7291_HRSCAF_7434,1,260.0
ScmyWZ3_7291_HRSCAF_7434,1,27565.0
ScmyWZ3_7291_HRSCAF_7434,1,982.0
ScmyWZ3_7291_HRSCAF_7434,1,974.0
ScmyWZ3_7291_HRSCAF_7434,1,68941.0
ScmyWZ3_7291_HRSCAF_7434,1,3941.0
ScmyWZ3_7291_HRSCAF_7434,1,12011.0
ScmyWZ3_7291_HRSCAF_7434,1,780.0
ScmyWZ3_7291_HRSCAF_7434,1,602.0
ScmyWZ3_7291_HRSCAF_7434,1,11186.0
ScmyWZ3_7291_HRSCAF_7434,1,46489.0
ScmyWZ3_7291_HRSCAF_7434,1,3163.0
ScmyWZ3_7291_HRSCAF_7434,1,914.0
ScmyWZ3_7291_HRSCAF_7434,1,28057.0
ScmyWZ3_7291_HRSCAF_7434,1,19897.0
ScmyWZ3_7291_HRSCAF_7434,1,3755.0
ScmyWZ3_7291_HRSCAF_7434,1,2119.0
ScmyWZ3_7291_HRSCAF_7434,1,9094.0
ScmyWZ3_7291_HRSCAF_7434,1,954.0
ScmyWZ3_7291_HRSCAF_7434,1,4665.0
ScmyWZ3_7291_HRSCAF_7434,1,3312.0
ScmyWZ3_7291_HRSCAF_7434,1,57100.0
ScmyWZ3_7291_HRSCAF_7434,1,3168.0
ScmyWZ3_7291_HRSCAF_7434,1,10092.0
ScmyWZ3_7291_HRSCAF_7434,1,243.0
ScmyWZ3_7291_HRSCAF_7434,1,25337.0
ScmyWZ3_7291_HRSCAF_7434,1,8975.0
ScmyWZ3_7291_HRSCAF_7434,1,3810.0
ScmyWZ3_7291_HRSCAF_7434,1,5687.0
ScmyWZ3_7291_HRSCAF_7434,1,23559.0
ScmyWZ3_7291_HRSCAF_7434,1,3108.0
ScmyWZ3_7291_HRSCAF_7434,1,3166.0
ScmyWZ3_7291_HRSCAF_7434,1,845.0
ScmyWZ3_7291_HRSCAF_7434,1,8169.0
ScmyWZ3_7291_HRSCAF_7434,1,26811.0
ScmyWZ3_7291_HRSCAF_7434,1,18489.0
ScmyWZ3_7291_HRSCAF_7434,1,33158.0
ScmyWZ3_7291_HRSCAF_7434,1,452.0
ScmyWZ3_7291_HRSCAF_7434,1,19377.0
ScmyWZ3_7291_HRSCAF_7434,1,8078.0
ScmyWZ3_7291_HRSCAF_7434,1,23865.0
ScmyWZ3_7291_HRSCAF_7434,1,5750.0
ScmyWZ3_7291_HRSCAF_7434,1,6897.0
ScmyWZ3_7291_HRSCAF_7434,1,16656.0
ScmyWZ3_7291_HRSCAF_7434,1,27346.0
ScmyWZ3_7291_HRSCAF_7434,1,218.0
ScmyWZ3_7291_HRSCAF_7434,1,3495.0
ScmyWZ3_7291_HRSCAF_7434,1,1831.0
ScmyWZ3_7291_HRSCAF_7434,1,9345.0
ScmyWZ3_7291_HRSCAF_7434,1,668.0
ScmyWZ3_7291_HRSCAF_7434,1,60503.0
ScmyWZ3_7291_HRSCAF_7434,1,1013.0
ScmyWZ3_7291_HRSCAF_7434,1,6935.0
ScmyWZ3_7291_HRSCAF_7434,1,44991.0
ScmyWZ3_7291_HRSCAF_7434,1,48585.0
ScmyWZ3_7291_HRSCAF_7434,1,15436.0
ScmyWZ3_7291_HRSCAF_7434,1,10320.0
ScmyWZ3_7291_HRSCAF_7434,1,8199.0
ScmyWZ3_7291_HRSCAF_7434,1,1601.0
ScmyWZ3_7291_HRSCAF_7434,1,5618.0
ScmyWZ3_7291_HRSCAF_7434,1,12987.0
ScmyWZ3_7291_HRSCAF_7434,1,15121.0
ScmyWZ3_7291_HRSCAF_7434,1,5531.0
ScmyWZ3_7291_HRSCAF_7434,1,7436.0
ScmyWZ3_7291_HRSCAF_7434,1,15276.0
ScmyWZ3_7291_HRSCAF_7434,1,10812.0
ScmyWZ3_7291_HRSCAF_7434,1,2567.0
ScmyWZ3_7291_HRSCAF_7434,1,14355.0
ScmyWZ3_7291_HRSCAF_7434,1,8212.0
ScmyWZ3_7291_HRSCAF_7434,1,7165.0
ScmyWZ3_7291_HRSCAF_7434,1,12068.0
ScmyWZ3_7291_HRSCAF_7434,1,9404.0
ScmyWZ3_7291_HRSCAF_7434,1,5397.0
ScmyWZ3_7291_HRSCAF_7434,1,17113.0
ScmyWZ3_7291_HRSCAF_7434,1,14880.0
ScmyWZ3_7291_HRSCAF_7434,1,12240.0
ScmyWZ3_7291_HRSCAF_7434,1,36403.0
ScmyWZ3_7291_HRSCAF_7434,1,7439.0
ScmyWZ3_7291_HRSCAF_7434,1,23501.0
ScmyWZ3_7291_HRSCAF_7434,1,54194.0
ScmyWZ3_7291_HRSCAF_7434,1,2314.0
ScmyWZ3_7291_HRSCAF_7434,1,1876.0
ScmyWZ3_7291_HRSCAF_7434,1,23837.0
ScmyWZ3_7291_HRSCAF_7434,1,878.0
ScmyWZ3_7291_HRSCAF_7434,1,518.0
ScmyWZ3_7291_HRSCAF_7434,1,1654.0
ScmyWZ3_7291_HRSCAF_7434,1,86285.0
ScmyWZ3_7291_HRSCAF_7434,1,22888.0
ScmyWZ3_7291_HRSCAF_7434,1,840.0
ScmyWZ3_7291_HRSCAF_7434,1,11638.0
ScmyWZ3_7291_HRSCAF_7434,1,2409.0
ScmyWZ3_7291_HRSCAF_7434,1,20693.0
ScmyWZ3_7291_HRSCAF_7434,1,2040.0
ScmyWZ3_7291_HRSCAF_7434,1,1858.0
ScmyWZ3_7291_HRSCAF_7434,1,602.0
ScmyWZ3_7291_HRSCAF_7434,1,21720.0
ScmyWZ3_7291_HRSCAF_7434,1,6217.0
ScmyWZ3_7291_HRSCAF_7434,1,1153.0
ScmyWZ3_7291_HRSCAF_7434,1,15838.0
ScmyWZ3_7291_HRSCAF_7434,1,18688.0
ScmyWZ3_7291_HRSCAF_7434,1,19759.0
ScmyWZ3_7291_HRSCAF_7434,1,21384.0
ScmyWZ3_7291_HRSCAF_7434,1,6097.0
ScmyWZ3_7291_HRSCAF_7434,1,27648.0
ScmyWZ3_7291_HRSCAF_7434,1,32361.0
ScmyWZ3_7291_HRSCAF_7434,1,9675.0
ScmyWZ3_7291_HRSCAF_7434,1,22249.0
ScmyWZ3_7291_HRSCAF_7434,1,38564.0
ScmyWZ3_7291_HRSCAF_7434,1,23680.0
ScmyWZ3_7291_HRSCAF_7434,1,1273.0
ScmyWZ3_7291_HRSCAF_7434,1,974.0
ScmyWZ3_7291_HRSCAF_7434,1,3291.0
ScmyWZ3_7291_HRSCAF_7434,1,2336.0
ScmyWZ3_7291_HRSCAF_7434,1,2919.0
ScmyWZ3_7291_HRSCAF_7434,1,327.0
ScmyWZ3_7291_HRSCAF_7434,1,14649.0
ScmyWZ3_7291_HRSCAF_7434,1,44802.0
ScmyWZ3_7291_HRSCAF_7434,1,600.0
ScmyWZ3_7291_HRSCAF_7434,1,780.0
ScmyWZ3_7291_HRSCAF_7434,1,1090.0
ScmyWZ3_7291_HRSCAF_7434,1,4040.0
ScmyWZ3_7291_HRSCAF_7434,1,4845.0
ScmyWZ3_7291_HRSCAF_7434,1,4105.0
ScmyWZ3_7291_HRSCAF_7434,1,5877.0
ScmyWZ3_7291_HRSCAF_7434,1,41274.0
ScmyWZ3_7291_HRSCAF_7434,1,5954.0
ScmyWZ3_7291_HRSCAF_7434,1,9227.0
ScmyWZ3_7291_HRSCAF_7434,1,6036.0
ScmyWZ3_7291_HRSCAF_7434,1,8283.0
ScmyWZ3_7291_HRSCAF_7434,1,12689.0
ScmyWZ3_7291_HRSCAF_7434,1,3956.0
ScmyWZ3_7291_HRSCAF_7434,1,11717.0
ScmyWZ3_7291_HRSCAF_7434,1,526.0
ScmyWZ3_7291_HRSCAF_7434,1,1989.0
ScmyWZ3_7291_HRSCAF_7434,1,9448.0
ScmyWZ3_7291_HRSCAF_7434,1,6472.0
ScmyWZ3_7291_HRSCAF_7434,1,8865.0
ScmyWZ3_7291_HRSCAF_7434,1,7920.0
ScmyWZ3_7291_HRSCAF_7434,1,1386.0
ScmyWZ3_7291_HRSCAF_7434,1,17551.0
ScmyWZ3_7291_HRSCAF_7434,1,410.0
ScmyWZ3_7291_HRSCAF_7434,1,12584.0
ScmyWZ3_7291_HRSCAF_7434,1,14683.0
ScmyWZ3_7291_HRSCAF_7434,1,44892.0
ScmyWZ3_7291_HRSCAF_7434,1,71569.0
ScmyWZ3_7291_HRSCAF_7434,1,7037.0
ScmyWZ3_7291_HRSCAF_7434,1,2078.0
ScmyWZ3_7291_HRSCAF_7434,1,15671.0
ScmyWZ3_7291_HRSCAF_7434,1,34872.0
ScmyWZ3_7291_HRSCAF_7434,1,46686.0
ScmyWZ3_7291_HRSCAF_7434,1,3049.0
ScmyWZ3_7291_HRSCAF_7434,1,10869.0
ScmyWZ3_7291_HRSCAF_7434,1,5466.0
ScmyWZ3_7291_HRSCAF_7434,1,29779.0
ScmyWZ3_7291_HRSCAF_7434,1,82531.0
ScmyWZ3_7291_HRSCAF_7434,1,10118.0
ScmyWZ3_7291_HRSCAF_7434,1,7871.0
ScmyWZ3_7291_HRSCAF_7434,1,30858.0
ScmyWZ3_7291_HRSCAF_7434,1,17955.0
ScmyWZ3_7291_HRSCAF_7434,1,17285.0
ScmyWZ3_7291_HRSCAF_7434,1,26094.0
ScmyWZ3_7291_HRSCAF_7434,1,374.0
ScmyWZ3_7291_HRSCAF_7434,1,560.0
ScmyWZ3_7291_HRSCAF_7434,1,1567.0
ScmyWZ3_7291_HRSCAF_7434,1,465.0
ScmyWZ3_7291_HRSCAF_7434,1,11312.0
ScmyWZ3_7291_HRSCAF_7434,1,22833.0
ScmyWZ3_7291_HRSCAF_7434,1,49908.0
ScmyWZ3_7291_HRSCAF_7434,1,20549.0
ScmyWZ3_7291_HRSCAF_7434,1,624.0
ScmyWZ3_7291_HRSCAF_7434,1,651.0
ScmyWZ3_7291_HRSCAF_7434,1,8483.0
ScmyWZ3_7291_HRSCAF_7434,1,533.0
ScmyWZ3_7291_HRSCAF_7434,1,4355.0
ScmyWZ3_7291_HRSCAF_7434,1,4325.0
ScmyWZ3_7291_HRSCAF_7434,1,8266.0
ScmyWZ3_7291_HRSCAF_7434,1,6490.0
ScmyWZ3_7291_HRSCAF_7434,1,18872.0
ScmyWZ3_7291_HRSCAF_7434,1,775.0
ScmyWZ3_7291_HRSCAF_7434,1,9513.0
ScmyWZ3_7291_HRSCAF_7434,1,45343.0
ScmyWZ3_7291_HRSCAF_7434,1,389.0
ScmyWZ3_7291_HRSCAF_7434,1,37052.0
ScmyWZ3_7291_HRSCAF_7434,1,26528.0
ScmyWZ3_7291_HRSCAF_7434,1,31271.0
ScmyWZ3_7291_HRSCAF_7434,1,10418.0
ScmyWZ3_7291_HRSCAF_7434,1,61611.0
ScmyWZ3_7291_HRSCAF_7434,1,6481.0
ScmyWZ3_7291_HRSCAF_7434,1,28101.0
ScmyWZ3_7291_HRSCAF_7434,1,33929.0
ScmyWZ3_7291_HRSCAF_7434,1,12759.0
ScmyWZ3_7291_HRSCAF_7434,1,10392.0
ScmyWZ3_7291_HRSCAF_7434,1,22956.0
ScmyWZ3_7291_HRSCAF_7434,1,1822.0
ScmyWZ3_7291_HRSCAF_7434,1,18950.0
ScmyWZ3_7291_HRSCAF_7434,1,31326.0
ScmyWZ3_7291_HRSCAF_7434,1,23143.0
ScmyWZ3_7291_HRSCAF_7434,1,14012.0
ScmyWZ3_7291_HRSCAF_7434,1,56260.0
ScmyWZ3_7291_HRSCAF_7434,1,43040.0
ScmyWZ3_7291_HRSCAF_7434,1,38520.0
ScmyWZ3_7291_HRSCAF_7434,1,24240.0
ScmyWZ3_7291_HRSCAF_7434,1,5584.0
ScmyWZ3_7291_HRSCAF_7434,1,2021.0
ScmyWZ3_7291_HRSCAF_7434,1,4517.0
ScmyWZ3_7291_HRSCAF_7434,1,12708.0
ScmyWZ3_7291_HRSCAF_7434,1,9986.0
ScmyWZ3_7291_HRSCAF_7434,1,41062.0
ScmyWZ3_7291_HRSCAF_7434,1,29800.0
ScmyWZ3_7291_HRSCAF_7434,1,7645.0
ScmyWZ3_7291_HRSCAF_7434,1,13217.0
ScmyWZ3_7291_HRSCAF_7434,1,19809.0
ScmyWZ3_7291_HRSCAF_7434,1,30689.0
ScmyWZ3_7291_HRSCAF_7434,1,6660.0
ScmyWZ3_7291_HRSCAF_7434,1,32165.0
ScmyWZ3_7291_HRSCAF_7434,1,9551.0
ScmyWZ3_7291_HRSCAF_7434,1,17928.0
ScmyWZ3_7291_HRSCAF_7434,1,8095.0
ScmyWZ3_7291_HRSCAF_7434,1,9861.0
ScmyWZ3_7291_HRSCAF_7434,1,27517.0
ScmyWZ3_7291_HRSCAF_7434,1,15333.0
ScmyWZ3_7291_HRSCAF_7434,1,19208.0
ScmyWZ3_7291_HRSCAF_7434,1,11128.0
ScmyWZ3_7291_HRSCAF_7434,1,7933.0
ScmyWZ3_7291_HRSCAF_7434,1,15248.0
ScmyWZ3_7291_HRSCAF_7434,1,14372.0
ScmyWZ3_7291_HRSCAF_7434,1,8463.0
ScmyWZ3_7291_HRSCAF_7434,1,11917.0
ScmyWZ3_7291_HRSCAF_7434,1,29730.0
ScmyWZ3_7291_HRSCAF_7434,1,8737.0
ScmyWZ3_7291_HRSCAF_7434,1,20212.0
ScmyWZ3_7291_HRSCAF_7434,1,9955.0
ScmyWZ3_7291_HRSCAF_7434,1,42007.0
ScmyWZ3_7291_HRSCAF_7434,1,4082.0
ScmyWZ3_7291_HRSCAF_7434,1,7264.0
ScmyWZ3_7291_HRSCAF_7434,1,10380.0
ScmyWZ3_7291_HRSCAF_7434,1,9771.0
ScmyWZ3_7291_HRSCAF_7434,1,2340.0
ScmyWZ3_7291_HRSCAF_7434,1,702.0
ScmyWZ3_7291_HRSCAF_7434,1,14313.0
ScmyWZ3_7291_HRSCAF_7434,1,20462.0
ScmyWZ3_7291_HRSCAF_7434,1,2779.0
ScmyWZ3_7291_HRSCAF_7434,1,8963.0
ScmyWZ3_7291_HRSCAF_7434,1,28767.0
ScmyWZ3_7291_HRSCAF_7434,1,25784.0
ScmyWZ3_7291_HRSCAF_7434,1,36954.0
ScmyWZ3_7291_HRSCAF_7434,1,7072.0
ScmyWZ3_7291_HRSCAF_7434,1,2403.0
ScmyWZ3_7291_HRSCAF_7434,1,320.0
ScmyWZ3_7291_HRSCAF_7434,1,20446.0
ScmyWZ3_7291_HRSCAF_7434,1,35186.0
ScmyWZ3_7291_HRSCAF_7434,1,5333.0
ScmyWZ3_7291_HRSCAF_7434,1,1558.0
ScmyWZ3_7291_HRSCAF_7434,1,10674.0
ScmyWZ3_7291_HRSCAF_7434,1,10841.0
ScmyWZ3_7291_HRSCAF_7434,1,21158.0
