# GFF/GTF parsing and conversion.
# PYTHON VERSION: 3.8.5
# Script call:    /home/gt156213e/bin/core/gxf_parse.py -i dwarf_hamster_23Oct18_myWZ3_10JunAnn.all.name_id_edit.gff -s maker -p Psun -o psun-genes-old.tab --notranscripts --noexons --overwrite
# Runtime:        11/02/2020 10:09:20
# ----------------
# Input file:            dwarf_hamster_23Oct18_myWZ3_10JunAnn.all.name_id_edit.gff
# Input source:          maker
# Feature ID prefix:     Psun
# Output file:           psun-genes-old.tab
# --overwrite set:       Overwriting previous output file.
# --notranscripts set:   Not writing transcript coordinates and IDs.
# --noexons set:         Not writing exon coordinates and IDs.
# ----------------
# 11.02.2020 | 10:09:20 Detecting compression...
# 11.02.2020 | 10:09:20 Reading genes...
# Genes read:            22016
# ----------------
# 11.02.2020 | 10:10:13 Writing output...
feature id	feature type	chr	start	end	strand	parent ids	num child features
Psun_G000021946	gene	ScmyWZ3_2270_HRSCAF_2335	1687	2040	-	NA	0
Psun_G000021943	gene	ScmyWZ3_993_HRSCAF_1028	664	2219	-	NA	0
Psun_G000021898	gene	ScmyWZ3_1528_HRSCAF_1579	5450	6001	+	NA	0
Psun_G000021896	gene	ScmyWZ3_1528_HRSCAF_1579	3236	4083	+	NA	0
Psun_G000021897	gene	ScmyWZ3_1528_HRSCAF_1579	4920	5359	+	NA	0
Psun_G000021895	gene	ScmyWZ3_1528_HRSCAF_1579	2916	3157	+	NA	0
Psun_G000003047	gene	ScmyWZ3_6734_HRSCAF_6862	184611	187734	-	NA	0
Psun_G000003048	gene	ScmyWZ3_6734_HRSCAF_6862	191110	209968	-	NA	0
Psun_G000003039	gene	ScmyWZ3_6734_HRSCAF_6862	76691	94315	+	NA	0
Psun_G000003043	gene	ScmyWZ3_6734_HRSCAF_6862	137933	139248	+	NA	0
Psun_G000003046	gene	ScmyWZ3_6734_HRSCAF_6862	158537	173051	+	NA	0
Psun_G000003041	gene	ScmyWZ3_6734_HRSCAF_6862	106717	126303	+	NA	0
Psun_G000003044	gene	ScmyWZ3_6734_HRSCAF_6862	141206	144133	+	NA	0
Psun_G000003045	gene	ScmyWZ3_6734_HRSCAF_6862	152009	158035	+	NA	0
Psun_G000003042	gene	ScmyWZ3_6734_HRSCAF_6862	117261	126303	-	NA	0
Psun_G000003040	gene	ScmyWZ3_6734_HRSCAF_6862	93798	106717	-	NA	0
Psun_G000003053	gene	ScmyWZ3_6734_HRSCAF_6862	323015	323992	+	NA	0
Psun_G000003049	gene	ScmyWZ3_6734_HRSCAF_6862	268788	291644	+	NA	0
Psun_G000003051	gene	ScmyWZ3_6734_HRSCAF_6862	303179	305994	-	NA	0
Psun_G000003050	gene	ScmyWZ3_6734_HRSCAF_6862	295977	298968	-	NA	0
Psun_G000003055	gene	ScmyWZ3_6734_HRSCAF_6862	351424	364649	-	NA	0
Psun_G000003054	gene	ScmyWZ3_6734_HRSCAF_6862	344981	349109	-	NA	0
Psun_G000003052	gene	ScmyWZ3_6734_HRSCAF_6862	309348	322752	-	NA	0
Psun_G000003060	gene	ScmyWZ3_6734_HRSCAF_6862	410237	414770	+	NA	0
Psun_G000003061	gene	ScmyWZ3_6734_HRSCAF_6862	416527	419706	+	NA	0
Psun_G000003067	gene	ScmyWZ3_6734_HRSCAF_6862	457454	464543	+	NA	0
Psun_G000003065	gene	ScmyWZ3_6734_HRSCAF_6862	448979	454605	+	NA	0
Psun_G000003057	gene	ScmyWZ3_6734_HRSCAF_6862	393741	396913	+	NA	0
Psun_G000003064	gene	ScmyWZ3_6734_HRSCAF_6862	444069	449221	-	NA	0
Psun_G000003063	gene	ScmyWZ3_6734_HRSCAF_6862	434634	439523	-	NA	0
Psun_G000003062	gene	ScmyWZ3_6734_HRSCAF_6862	420526	432639	-	NA	0
Psun_G000003058	gene	ScmyWZ3_6734_HRSCAF_6862	393756	400567	-	NA	0
Psun_G000003056	gene	ScmyWZ3_6734_HRSCAF_6862	378814	393167	-	NA	0
Psun_G000003059	gene	ScmyWZ3_6734_HRSCAF_6862	405081	407869	-	NA	0
Psun_G000003070	gene	ScmyWZ3_6734_HRSCAF_6862	488815	490399	+	NA	0
Psun_G000003072	gene	ScmyWZ3_6734_HRSCAF_6862	503380	505897	+	NA	0
Psun_G000003073	gene	ScmyWZ3_6734_HRSCAF_6862	514557	535423	+	NA	0
Psun_G000003074	gene	ScmyWZ3_6734_HRSCAF_6862	535888	540664	-	NA	0
Psun_G000003069	gene	ScmyWZ3_6734_HRSCAF_6862	482400	485019	-	NA	0
Psun_G000003076	gene	ScmyWZ3_6734_HRSCAF_6862	577173	577844	-	NA	0
Psun_G000003068	gene	ScmyWZ3_6734_HRSCAF_6862	469195	476140	-	NA	0
Psun_G000003071	gene	ScmyWZ3_6734_HRSCAF_6862	500825	502089	-	NA	0
Psun_G000003066	gene	ScmyWZ3_6734_HRSCAF_6862	453464	465361	-	NA	0
Psun_G000003075	gene	ScmyWZ3_6734_HRSCAF_6862	542298	567610	-	NA	0
Psun_G000003077	gene	ScmyWZ3_6734_HRSCAF_6862	580579	581317	-	NA	0
Psun_G000003080	gene	ScmyWZ3_6734_HRSCAF_6862	619823	623055	+	NA	0
Psun_G000003078	gene	ScmyWZ3_6734_HRSCAF_6862	596995	611741	+	NA	0
Psun_G000003083	gene	ScmyWZ3_6734_HRSCAF_6862	637504	643904	+	NA	0
Psun_G000003079	gene	ScmyWZ3_6734_HRSCAF_6862	612089	613227	+	NA	0
Psun_G000003081	gene	ScmyWZ3_6734_HRSCAF_6862	623848	625312	-	NA	0
Psun_G000003084	gene	ScmyWZ3_6734_HRSCAF_6862	651076	667730	-	NA	0
Psun_G000003082	gene	ScmyWZ3_6734_HRSCAF_6862	630950	633598	-	NA	0
Psun_G000003085	gene	ScmyWZ3_6734_HRSCAF_6862	688390	710479	-	NA	0
Psun_G000003086	gene	ScmyWZ3_6734_HRSCAF_6862	716643	724552	-	NA	0
Psun_G000003087	gene	ScmyWZ3_6734_HRSCAF_6862	724900	762060	-	NA	0
Psun_G000003092	gene	ScmyWZ3_6734_HRSCAF_6862	980223	993295	+	NA	0
Psun_G000003093	gene	ScmyWZ3_6734_HRSCAF_6862	995301	1000938	-	NA	0
Psun_G000003090	gene	ScmyWZ3_6734_HRSCAF_6862	869169	876901	+	NA	0
Psun_G000003091	gene	ScmyWZ3_6734_HRSCAF_6862	879241	881346	-	NA	0
Psun_G000003088	gene	ScmyWZ3_6734_HRSCAF_6862	803633	805344	-	NA	0
Psun_G000003089	gene	ScmyWZ3_6734_HRSCAF_6862	807045	860146	-	NA	0
Psun_G000003094	gene	ScmyWZ3_6734_HRSCAF_6862	1088589	1091279	+	NA	0
Psun_G000003097	gene	ScmyWZ3_6734_HRSCAF_6862	1153881	1165418	+	NA	0
Psun_G000003098	gene	ScmyWZ3_6734_HRSCAF_6862	1165367	1172036	-	NA	0
Psun_G000003096	gene	ScmyWZ3_6734_HRSCAF_6862	1132900	1153707	-	NA	0
Psun_G000003095	gene	ScmyWZ3_6734_HRSCAF_6862	1117542	1122345	-	NA	0
Psun_G000003099	gene	ScmyWZ3_6734_HRSCAF_6862	1218139	1257181	+	NA	0
Psun_G000003104	gene	ScmyWZ3_6734_HRSCAF_6862	1285846	1287806	+	NA	0
Psun_G000003103	gene	ScmyWZ3_6734_HRSCAF_6862	1277451	1278199	-	NA	0
Psun_G000003101	gene	ScmyWZ3_6734_HRSCAF_6862	1244295	1245157	-	NA	0
Psun_G000003100	gene	ScmyWZ3_6734_HRSCAF_6862	1239593	1240655	-	NA	0
Psun_G000003102	gene	ScmyWZ3_6734_HRSCAF_6862	1261536	1275094	-	NA	0
Psun_G000003105	gene	ScmyWZ3_6734_HRSCAF_6862	1301647	1303417	+	NA	0
Psun_G000003106	gene	ScmyWZ3_6734_HRSCAF_6862	1323195	1326010	+	NA	0
Psun_G000003108	gene	ScmyWZ3_6734_HRSCAF_6862	1359053	1366445	-	NA	0
Psun_G000003107	gene	ScmyWZ3_6734_HRSCAF_6862	1326904	1340298	-	NA	0
Psun_G000003109	gene	ScmyWZ3_6734_HRSCAF_6862	1370831	1372411	-	NA	0
Psun_G000003110	gene	ScmyWZ3_6734_HRSCAF_6862	1530675	1531808	+	NA	0
Psun_G000003111	gene	ScmyWZ3_6734_HRSCAF_6862	1829432	1875877	+	NA	0
Psun_G000003118	gene	ScmyWZ3_6734_HRSCAF_6862	2003654	2011081	+	NA	0
Psun_G000003119	gene	ScmyWZ3_6734_HRSCAF_6862	2007803	2022583	-	NA	0
